,title,upload_date,view_count
0,"PRESENTATION ON ""IOT BASED MACHINE LEARNING TECHNIQUES FOR HEALTHCARE APPLICATIONS""",2021-02-11,2
1,Machine Learning for Saving Bees 🐝,2021-02-11,7
2,"AI Masterclass on Quantum Machine Learning with Geordie Rose, PhD (Sanctuary AI)",2021-02-11,153
3,Which projects are right for Artificial Intelligence and Machine Learning?,2021-02-11,1
4,The MOST IMPORTANT topic in Machine Learning right now,2021-02-11,244
5,Machine Learning as a new type of software,2021-02-11,0
6,Machine learning - OpenCV based IOT using Raspberry pi - learn Other IT & Software,2021-02-11,0
7,How to split dataset in machine learning,2021-02-11,3
8,Deep Learning for Multi grade Brain Tumor Classification in Smart Healthcare Systems: A Prospective,2021-02-11,1
9,Machine Learning of Partial Differential Equations,2021-02-11,8
10,The sparks Foundation Task 1 of Data science,2021-02-11,1
11,NIH Data Science Workforce Programs –Featuring the Graduate Data Science Summer Program,2021-02-11,7
12,Improve Data Science and Artificial Intelligence Project Outcomes with Playbook by NASSCOM and PMI,2021-02-11,37
13,The Spark Foundation (Data science and Business Analytics Intern): Task 1- Simple Linear Regression,2021-02-11,0
14,Building A Course Recommender App with Streamlit & Udemy Dataset (Data Science Project),2021-02-11,40
15,Data Scientist or Data Engineer? Mapping Educational & Career Opportunities | Simplilearn,2021-02-11,976
16,Machine Learning with Jupyter Notebooks in Amazon AWS - learn Data Science,2021-02-11,0
17,Data Science | Certifications of Data Science |  What are Data Science Tools | iCert Global,2021-02-11,2
18,Data Science LIVE Q&A Session,2021-02-11,550
19,Python for Data Science | NPTEL | Week 4 | Assignment 4 Solution,2021-02-11,21
20,How to do the Titanic Kaggle Competition,2021-02-11,208
21,"Data Science Project Quick Start in Tamil - Cross Validation, Hyperparameter Tuning, Kaggle Titanic",2021-02-11,23
22,Deep Learning  Lesson 2  Kaggle MNIST ENG,2021-02-10,4
23,"Data Science Quick Start in Tamil - Missing Values Imputation, Kaggle Titanic Competition",2021-02-10,33
24,"Data Science Project Quick Start in Tamil, Data Visualization, Kaggle Titanic Competition",2021-02-09,104
25,Create a Dataset on Kaggle and win a gold medal with usability 10.0 score,2021-02-08,3
26,6 Kernels Incríveis do Kaggle que todo Cientista de Dados deve conhecer.,2021-02-08,229
27,"Data Science Project Quick Start in Tamil, Kaggle Titanic Competition",2021-02-08,108
28,Kaggle meetup: Prostate cANcer graDe Assessment (PANDA) Challenge,2021-02-07,25
